event_id,role,cdk,name,normalized_name
AP_vizaga_1951:1961,parent,AP_vizaga_1951,Vizagapatnam,vizagapatnam
AP_vizaga_1951:1961,child,AP_visakh_1961,Visakhapatnam,visakhapatnam
AR_aborhi_1951:1961,parent,AR_aborhi_1951,Abor Hills,abor hills
AR_aborhi_1951:1961,child,AR_siangf_1961,Siang Frontier Division,siang frontier division
AR_balipa_1951:1961,parent,AR_balipa_1951,Balipara Frontier Tract,balipara frontier tract
AR_balipa_1951:1961,child,AR_kameng_1961,Kameng Frontier,kameng frontier
AR_balipa_1951:1961,child,AR_subans_1961,Subansiri Frontier,subansiri frontier
AR_mishmi_1951:1961,parent,AR_mishmi_1951,Mishmi Hills,mishmi hills
AR_mishmi_1951:1961,child,AR_lohitf_1961,Lohit Frontier Division,lohit frontier division
GJ_centra_1951:1961,parent,GJ_centra_1951,Central Saurashtra,central saurashtra
GJ_centra_1951:1961,child,GJ_rajkot_1961,Rajkot,rajkot
GJ_zalawa_1951:1961,parent,GJ_zalawa_1951,Zalawad,zalawad
GJ_zalawa_1951:1961,child,GJ_surend_1961,Surendranagar,surendranagar
HP_kangra_1951:1961,parent,HP_kangra_1951,Kangra,kangra
HP_kangra_1951:1961,child,HP_lahaul_1961,Lahaul and Spiti,lahaul and spiti
HP_kohist_1951:1961,parent,HP_kohist_1951,Kohistan,kohistan
HP_kohist_1951:1961,child,HP_shimla_1961,Simla,simla
HP_mahasu_1951:1961,parent,HP_mahasu_1951,Mahasu,mahasu
HP_mahasu_1951:1961,child,HP_kinnau_1961,Kinnaur,kinnaur
JK_jammua_1951:1961,parent,JK_jammua_1951,Jammu and Kashmir,jammu and kashmir
JK_jammua_1951:1961,child,JK_anantn_1961,Anantnag,anantnag
JK_jammua_1951:1961,child,JK_baramu_1961,Baramula,baramula
JK_jammua_1951:1961,child,JK_doda_1961,Doda,doda
JK_jammua_1951:1961,child,JK_jammu_1961,Jammu,jammu
JK_jammua_1951:1961,child,JK_kathua_1961,Kathua,kathua
JK_jammua_1951:1961,child,JK_ladakh_1961,Ladakh,ladakh
JK_jammua_1951:1961,child,JK_poonch_1961,Poonch,poonch
JK_jammua_1951:1961,child,JK_srinag_1961,Srinagar,srinagar
JK_jammua_1951:1961,child,JK_udhamp_1961,Udhampur,udhampur
KL_kollam_1951:1961,parent,KL_kollam_1951,Quilon,quilon
KL_kollam_1951:1961,child,KL_alappu_1961,Alleppey,alleppey
KL_kottay_1951:1961,parent,KL_kottay_1951,Kottayam,kottayam
KL_kottay_1951:1961,child,KL_alappu_1961,Alleppey,alleppey
KL_kottay_1951:1961,child,KL_ernaku_1961,Ernakulam,ernakulam
KL_malapp_1951:1961,parent,KL_malapp_1951,Malappuram,malappuram
KL_malapp_1951:1961,child,KL_kannur_1961,Cannanore,cannanore
KL_malapp_1951:1961,child,KL_kozhik_1961,Kozhikode,kozhikode
KL_malapp_1951:1961,child,KL_palgha_1961,Palghat,palghat
KL_thriss_1951:1961,parent,KL_thriss_1951,Trichur,trichur
KL_thriss_1951:1961,child,KL_ernaku_1961,Ernakulam,ernakulam
MH_satara_1951:1961,parent,MH_satara_1951,Satara North,satara north
MH_satara_1951:1961,child,MH_sangli_1961,Sangli,sangli
MP_bhilsa_1951:1961,parent,MP_bhilsa_1951,Bhilsa,bhilsa
MP_bhilsa_1951:1961,child,MP_vidish_1961,Vidisha,vidisha
MP_chhind_1951:1961,parent,MP_chhind_1951,Chhindwara,chhindwara
MP_chhind_1951:1961,child,MP_seoni_1961,Seoni,seoni
MP_gird_1951:1961,parent,MP_gird_1951,Gird,gird
MP_gird_1951:1961,child,MP_gwalio_1961,Gwalior,gwalior
MP_goona_1951:1961,parent,MP_goona_1951,Goona,goona
MP_goona_1951:1961,child,MP_guna_1961,Guna,guna
MP_narmad_1951:1961,parent,MP_narmad_1951,Hoshangabad,hoshangabad
MP_narmad_1951:1961,child,MP_narsin_1961,Narsimhapur,narsimhapur
MP_nimar_1951:1961,parent,MP_nimar_1951,Nimar,nimar
MP_nimar_1951:1961,child,MP_khandw_1961,East Nimar,east nimar
MP_nimar_1951:1961,child,MP_khargo_1961,Khargone,khargone
MP_sagar_1951:1961,parent,MP_sagar_1951,Sagar,sagar
MP_sagar_1951:1961,child,MP_damoh_1961,Damoh,damoh
NL_tuensa_1951:1961,parent,NL_tuensa_1951,Tuensang,tuensang
NL_tuensa_1951:1961,child,NL_mokokc_1961,Mokokchung,mokokchung
RJ_kotah_1951:1961,parent,RJ_kotah_1951,Kotah,kotah
RJ_kotah_1951:1961,child,RJ_kota_1951,Kota,kota
TG_warang_1951:1961,parent,TG_warang_1951,Warangal,warangal
TG_warang_1951:1961,child,TG_khamma_1961,Khammam,khammam
TN_thiruv_1951:1961,parent,TN_thiruv_1951,Thiruvallur,thiruvallur
TN_thiruv_1951:1961,child,TN_kanniy_1961,Kanyakumari,kanyakumari
UK_almora_1951:1961,parent,UK_almora_1951,Almora,almora
UK_almora_1951:1961,child,UK_pithor_1961,Pithoragarh,pithoragarh
UK_garhwa_1951:1961,parent,UK_garhwa_1951,Garhwal,garhwal
UK_garhwa_1951:1961,child,UK_chamol_1961,Chamoli,chamoli
UK_tehri_1951:1961,parent,UK_tehri_1951,Tehri Garhwal,tehri garhwal
UK_tehri_1951:1961,child,UK_uttark_1961,Uttar Kashi,uttar kashi
AR_lohitf_1961:1971,parent,AR_lohitf_1961,Lohit Frontier Division,lohit frontier division
AR_lohitf_1961:1971,child,AR_lohit_1971,Lohit,lohit
AR_siangf_1961:1971,parent,AR_siangf_1961,Siang Frontier Division,siang frontier division
AR_siangf_1961:1971,child,AR_siang_1971,Siang,siang
AR_tirapf_1951:1971,parent,AR_tirapf_1951,Tirap Frontier Division,tirap frontier division
AR_tirapf_1951:1971,child,AR_tirap_1971,Tirap,tirap
AS_united_1961:1971,parent,AS_united_1961,United Mikir and North Cachar Hills,united mikir and north cachar hills
AS_united_1961:1971,child,AS_mikirh_1971,Mikir Hills,mikir hills
AS_united_1961:1971,child,AS_northc_1971,North Cachar Hills,north cachar hills
CH_ambala_1961:1971,parent,CH_ambala_1961,Ambala,ambala
CH_ambala_1961:1971,child,CH_chandi_1971,Chandigarh,chandigarh
GJ_ahmeda_1961:1971,parent,GJ_ahmeda_1961,Ahmadabad,ahmadabad
GJ_ahmeda_1961:1971,child,GJ_gandhi_1971,Gandhinagar,gandhinagar
GJ_baroda_1961:1971,parent,GJ_baroda_1961,Baroda,baroda
GJ_baroda_1961:1971,child,GJ_vadoda_1971,Vadodara,vadodara
GJ_dangs_1961:1971,parent,GJ_dangs_1961,Dangs,dangs
GJ_dangs_1961:1971,child,GJ_thedan_1971,The Dangs,the dangs
GJ_mahesa_1961:1971,parent,GJ_mahesa_1961,Mahesana,mahesana
GJ_mahesa_1961:1971,child,GJ_gandhi_1971,Gandhinagar,gandhinagar
GJ_surat_1961:1971,parent,GJ_surat_1961,Surat,surat
GJ_surat_1961:1971,child,GJ_valsad_1971,Valsad,valsad
HP_kangra_1951:1971,parent,HP_kangra_1951,Kangra,kangra
HP_kangra_1951:1971,child,HP_kulu_1971,Kulu,kulu
HP_lahaul_1961:1971,parent,HP_lahaul_1961,Lahaul and Spiti,lahaul and spiti
HP_lahaul_1961:1971,child,HP_lahula_1971,Lahul and Spiti,lahul and spiti
HR_sangru_1961:1971,parent,HR_sangru_1961,Sangrur,sangrur
HR_sangru_1961:1971,child,HR_jind_1971,Jind,jind
JK_poonch_1961:1971,parent,JK_poonch_1961,Poonch,poonch
JK_poonch_1961:1971,child,JK_punch_1971,Punch,punch
JK_poonch_1961:1971,child,JK_rajaur_1971,Rajauri,rajauri
PB_hoshia_1961:1971,parent,PB_hoshia_1961,Hoshiarpur,hoshiarpur
PB_hoshia_1961:1971,child,PB_ropar_1971,Ropar,ropar
TN_salem_1961:1971,parent,TN_salem_1961,Salem,salem
TN_salem_1961:1971,child,TN_dharma_1971,Dharmapuri,dharmapuri
TR_tripur_1951:1971,parent,TR_tripur_1951,Tripura,tripura
TR_tripur_1951:1971,child,TR_northt_1971,North Tripura,north tripura
TR_tripur_1951:1971,child,TR_southt_1971,South Tripura,south tripura
TR_tripur_1951:1971,child,TR_westtr_1971,West Tripura,west tripura
WB_24parg_1961:1971,parent,WB_24parg_1961,24 - Parganas,24 parganas
WB_24parg_1961:1971,child,WB_south2_1971,Twenty Four Parganas,twenty four parganas
AN_andama_1971:1981,parent,AN_andama_1971,Andaman,andaman
AN_andama_1971:1981,child,AN_nicoba_1981,Nicobar,nicobar
AP_srikak_1971:1981,parent,AP_srikak_1971,Srikakulam,srikakulam
AP_srikak_1971:1981,child,AP_vizian_1981,Vizianagaram,vizianagaram
AP_sripot_1971:1981,parent,AP_sripot_1971,Nellore,nellore
AP_sripot_1971:1981,child,AP_prakas_1981,Prakasam,prakasam
AP_visakh_1961:1981,parent,AP_visakh_1961,Visakhapatnam,visakhapatnam
AP_visakh_1961:1981,child,AP_vizian_1981,Vizianagaram,vizianagaram
AR_kameng_1961:1981,parent,AR_kameng_1961,Kameng Frontier,kameng frontier
AR_kameng_1961:1981,child,AR_eastka_1981,East Kameng,east kameng
AR_kameng_1961:1981,child,AR_westka_1981,West Kameng,west kameng
AR_siang_1971:1981,parent,AR_siang_1971,Siang,siang
AR_siang_1971:1981,child,AR_westsi_1981,West Siang,west siang
AR_subans_1961:1981,parent,AR_subans_1961,Subansiri Frontier,subansiri frontier
AR_subans_1961:1981,child,AR_lowers_1981,Lower Siang,lower siang
AR_subans_1961:1981,child,AR_uppers_1981,Upper Siang,upper siang
AR_tirap_1971:1981,parent,AR_tirap_1971,Tirap,tirap
AR_tirap_1971:1981,child,AR_dibang_1981,Dibang Valley,dibang valley
AS_lakhim_1971:1981,parent,AS_lakhim_1971,Lakhimpur,lakhimpur
AS_lakhim_1971:1981,child,AS_dibrug_1981,Dibrugarh,dibrugarh
AS_mikirh_1971:1981,parent,AS_mikirh_1971,Mikir Hills,mikir hills
AS_mikirh_1971:1981,child,AS_karbia_1981,Karbi Anglong,karbi anglong
AS_nowgon_1971:1981,parent,AS_nowgon_1971,Nowgong,nowgong
AS_nowgon_1971:1981,child,AS_nagaon_1981,Nagaon,nagaon
BR_champa_1971:1981,parent,BR_champa_1971,Champaran,champaran
BR_champa_1971:1981,child,BR_pashch_1981,Pashchim Champaran,pashchim champaran
BR_champa_1971:1981,child,BR_purbac_1981,Purba Champaran,purba champaran
BR_darbha_1971:1981,parent,BR_darbha_1971,Darbhanga,darbhanga
BR_darbha_1971:1981,child,BR_madhub_1981,Madhubani,madhubani
BR_darbha_1971:1981,child,BR_samast_1981,Samastipur,samastipur
BR_gaya_1971:1981,parent,BR_gaya_1971,Gaya,gaya
BR_gaya_1971:1981,child,BR_aurang_1981,Aurangabad,aurangabad
BR_gaya_1971:1981,child,BR_nawada_1981,Nawada,nawada
BR_monghy_1971:1981,parent,BR_monghy_1971,Monghyr,monghyr
BR_monghy_1971:1981,child,BR_begusa_1981,Begusarai,begusarai
BR_monghy_1971:1981,child,BR_munger_1981,Munger,munger
BR_muzaff_1971:1981,parent,BR_muzaff_1971,Muzaffarpur,muzaffarpur
BR_muzaff_1971:1981,child,BR_sitama_1981,Sitamarhi,sitamarhi
BR_muzaff_1971:1981,child,BR_vaisha_1981,Vaishali,vaishali
BR_patna_1971:1981,parent,BR_patna_1971,Patna,patna
BR_patna_1971:1981,child,BR_naland_1981,Nalanda,nalanda
BR_purnea_1971:1981,parent,BR_purnea_1971,Purnea,purnea
BR_purnea_1971:1981,child,BR_katiha_1981,Katihar,katihar
BR_purnea_1971:1981,child,BR_purnia_1981,Purnia,purnia
BR_saran_1971:1981,parent,BR_saran_1971,Saran,saran
BR_saran_1971:1981,child,BR_gopalg_1981,Gopalganj,gopalganj
BR_saran_1971:1981,child,BR_siwan_1981,Siwan,siwan
BR_shahab_1971:1981,parent,BR_shahab_1971,Shahabad,shahabad
BR_shahab_1971:1981,child,BR_bhojpu_1981,Bhojpur,bhojpur
BR_shahab_1971:1981,child,BR_rohtas_1981,Rohtas,rohtas
CG_durg_1971:1981,parent,CG_durg_1971,Durg,durg
CG_durg_1971:1981,child,CG_rajnan_1981,Raj Nandgaon,raj nandgaon
GJ_kutch_1971:1981,parent,GJ_kutch_1971,Kutch,kutch
GJ_kutch_1971:1981,child,GJ_kachch_1981,Kachchh,kachchh
HP_kangra_1951:1981,parent,HP_kangra_1951,Kangra,kangra
HP_kangra_1951:1981,child,HP_hamirp_1981,Hamirpur,hamirpur
HP_kangra_1951:1981,child,HP_una_1981,Una,una
HP_kulu_1971:1981,parent,HP_kulu_1971,Kulu,kulu
HP_kulu_1971:1981,child,HP_kullu_1981,Kullu,kullu
HP_mahasu_1951:1981,parent,HP_mahasu_1951,Mahasu,mahasu
HP_mahasu_1951:1981,child,HP_shimla_1961,Simla,simla
HP_mahasu_1951:1981,child,HP_solan_1981,Solan,solan
HP_shimla_1961:1981,parent,HP_shimla_1961,Simla,simla
HP_shimla_1961:1981,child,HP_solan_1981,Solan,solan
HR_guruga_1951:1981,parent,HR_guruga_1951,Gurgaon,gurgaon
HR_guruga_1951:1981,child,HR_farida_1981,Faridabad,faridabad
HR_guruga_1951:1981,child,HR_mahend_1951,Mahendragarh,mahendragarh
HR_hisar_1951:1981,parent,HR_hisar_1951,Hisar,hisar
HR_hisar_1951:1981,child,HR_bhiwan_1981,Bhiwani,bhiwani
HR_hisar_1951:1981,child,HR_sirsa_1981,Sirsa,sirsa
HR_karnal_1951:1981,parent,HR_karnal_1951,Karnal,karnal
HR_karnal_1951:1981,child,HR_kuruks_1981,Kurukshetra,kurukshetra
HR_rohtak_1951:1981,parent,HR_rohtak_1951,Rohtak,rohtak
HR_rohtak_1951:1981,child,HR_karnal_1951,Karnal,karnal
HR_rohtak_1951:1981,child,HR_sonipa_1981,Sonipat,sonipat
JH_hazari_1971:1981,parent,JH_hazari_1971,Hazaribag,hazaribag
JH_hazari_1971:1981,child,JH_giridi_1981,Giridih,giridih
JK_baramu_1961:1981,parent,JK_baramu_1961,Baramula,baramula
JK_baramu_1961:1981,child,JK_kupwar_1981,Kupwara,kupwara
JK_ladakh_1961:1981,parent,JK_ladakh_1961,Ladakh,ladakh
JK_ladakh_1961:1981,child,JK_kargil_1981,Kargil,kargil
JK_srinag_1961:1981,parent,JK_srinag_1961,Srinagar,srinagar
JK_srinag_1961:1981,child,JK_badgam_1981,Badgam,badgam
JK_srinag_1961:1981,child,JK_pulwam_1981,Pulwama,pulwama
KL_ernaku_1961:1981,parent,KL_ernaku_1961,Ernakulam,ernakulam
KL_ernaku_1961:1981,child,KL_idukki_1981,Idukki,idukki
KL_kannur_1961:1981,parent,KL_kannur_1961,Cannanore,cannanore
KL_kannur_1961:1981,child,KL_wayana_1981,Wayanad,wayanad
KL_kottay_1951:1981,parent,KL_kottay_1951,Kottayam,kottayam
KL_kottay_1951:1981,child,KL_idukki_1981,Idukki,idukki
KL_kozhik_1961:1981,parent,KL_kozhik_1961,Kozhikode,kozhikode
KL_kozhik_1961:1981,child,KL_wayana_1981,Wayanad,wayanad
MH_bhir_1971:1981,parent,MH_bhir_1971,Bhir,bhir
MH_bhir_1971:1981,child,MH_bid_1981,Bid,bid
MH_kolaba_1971:1981,parent,MH_kolaba_1971,Kolaba,kolaba
MH_kolaba_1971:1981,child,MH_raigar_1981,Raigarh,raigarh
MH_nasik_1971:1981,parent,MH_nasik_1971,Nasik,nasik
MH_nasik_1971:1981,child,MH_nashik_1981,Nashik,nashik
MH_sholap_1971:1981,parent,MH_sholap_1971,Sholapur,sholapur
MH_sholap_1971:1981,child,MH_solapu_1981,Solapur,solapur
MH_yavatman_1971:1981,parent,MH_yavatman_1971,Yeotmal,yeotmal
MH_yavatman_1971:1981,child,MH_yavatma_1981,Yavatmal,yavatmal
ML_ekhasi_1971:1981,parent,ML_ekhasi_1971,United Khasi and Jaintia Hills,united khasi and jaintia hills
ML_ekhasi_1971:1981,child,ML_eastkh_1981,East Khasi Hills,east khasi hills
ML_ekhasi_1971:1981,child,ML_jainti_1981,Jaintia Hills,jaintia hills
ML_ekhasi_1971:1981,child,ML_westkh_1981,West Khasi Hills,west khasi hills
ML_garohi_1971:1981,parent,ML_garohi_1971,Garo Hills,garo hills
ML_garohi_1971:1981,child,ML_eastga_1981,East Garo Hills,east garo hills
ML_garohi_1971:1981,child,ML_westga_1981,West Garo Hills,west garo hills
MN_manipu_1951:1981,parent,MN_manipu_1951,Manipur,manipur
MN_manipu_1951:1981,child,MN_tengno_1951,Chandel,chandel
MP_sehore_1971:1981,parent,MP_sehore_1971,Sehore,sehore
MP_sehore_1971:1981,child,MP_bhopal_1981,Bhopal,bhopal
MZ_mizora_1951:1981,parent,MZ_mizora_1951,Lushai Hills,lushai hills
MZ_mizora_1951:1981,child,MZ_aizawl_1981,Aizawl,aizawl
MZ_mizora_1951:1981,child,MZ_chhimt_1981,Chhimtuipui,chhimtuipui
MZ_mizora_1951:1981,child,MZ_lungle_1981,Lunglei,lunglei
NL_kohima_1951:1981,parent,NL_kohima_1951,Kohima,kohima
NL_kohima_1951:1981,child,NL_phek_1981,Phek,phek
NL_mokokc_1961:1981,parent,NL_mokokc_1961,Mokokchung,mokokchung
NL_mokokc_1961:1981,child,NL_wokha_1981,Wokha,wokha
NL_mokokc_1961:1981,child,NL_zunheb_1981,Zunheboto,zunheboto
NL_tuensa_1951:1981,parent,NL_tuensa_1951,Tuensang,tuensang
NL_tuensa_1951:1981,child,NL_mon_1981,Mon,mon
OD_balaso_1971:1981,parent,OD_balaso_1971,Balasore,balasore
OD_balaso_1971:1981,child,OD_balesh_1981,Baleshwar,baleshwar
OD_bolang_1971:1981,parent,OD_bolang_1971,Bolangir,bolangir
OD_bolang_1971:1981,child,OD_balang_1981,Balangir,balangir
OD_keonjh_1971:1981,parent,OD_keonjh_1971,Keonjhar,keonjhar
OD_keonjh_1971:1981,child,OD_kenduj_1981,Kendujhar,kendujhar
PB_bhatin_1951:1981,parent,PB_bhatin_1951,Bathinda,bathinda
PB_bhatin_1951:1981,child,PB_faridk_1981,Faridkot,faridkot
PB_firozp_1951:1981,parent,PB_firozp_1951,Ferozepur,ferozepur
PB_firozp_1951:1981,child,PB_faridk_1981,Faridkot,faridkot
PB_ropar_1971:1981,parent,PB_ropar_1971,Ropar,ropar
PB_ropar_1971:1981,child,PB_rupnag_1981,Rupnagar,rupnagar
SK_sikkim_1971:1981,parent,SK_sikkim_1971,Sikkim,sikkim
SK_sikkim_1971:1981,child,SK_eastdi_1981,East District,east district
SK_sikkim_1971:1981,child,SK_northd_1981,North District,north district
SK_sikkim_1971:1981,child,SK_southd_1981,South District,south district
SK_sikkim_1971:1981,child,SK_westdi_1981,West District,west district
TG_hydera_1971:1981,parent,TG_hydera_1971,Hyderabad,hyderabad
TG_hydera_1971:1981,child,TG_rangar_1981,Rangareddi,rangareddi
TN_coimba_1951:1981,parent,TN_coimba_1951,Coimbatore,coimbatore
