event_id,issue_code,severity,message
WB_24parg_1961:1971,duplicate_row,medium,Duplicate lineage row for WB_south2_1971
WB_barddh_1951:1981,cycle_rejected,high,Parent and child are identical (WB_barddh_1951)
WB_barddh_1951:1981,duplicate_row,medium,Duplicate lineage row for WB_barddh_1951
WB_barddh_1951:1981,duplicate_row,medium,Duplicate lineage row for WB_barddh_1951
WB_kolkat_1951:2001,cycle_rejected,high,Parent and child are identical (WB_kolkat_1951)
WB_kochbi_1971:1981,cycle_rejected,high,Parent and child are identical (WB_kochbi_1971)
WB_darjil_1971:1981,cycle_rejected,high,Parent and child are identical (WB_darjil_1971)
WB_darjil_1971:1981,duplicate_row,medium,Duplicate lineage row for WB_darjil_1971
WB_haora_1971:1981,cycle_rejected,high,Parent and child are identical (WB_haora_1971)
WB_medini_1951:2011,duplicate_row,medium,Duplicate lineage row for WB_paschi_2011
WB_medini_1951:1981,cycle_rejected,high,Parent and child are identical (WB_medini_1951)
WB_medini_1951:1981,duplicate_row,medium,Duplicate lineage row for WB_medini_1951
WB_medini_1951:1981,duplicate_row,medium,Duplicate lineage row for WB_medini_1951
WB_medini_1951:1961,cycle_rejected,high,Parent and child are identical (WB_medini_1951)
WB_medini_1951:1961,duplicate_row,medium,Duplicate lineage row for WB_medini_1951
WB_medini_1951:1961,duplicate_row,medium,Duplicate lineage row for WB_medini_1951
WB_puruli_1971:1981,cycle_rejected,high,Parent and child are identical (WB_puruli_1971)
WB_dakshi_1991:2001,cycle_rejected,high,Parent and child are identical (WB_dakshi_1991)
UK_almora_1951:1961,duplicate_row,medium,Duplicate lineage row for UK_pithor_1961
UK_dehrad_1991:2001,cycle_rejected,high,Parent and child are identical (UK_dehrad_1991)
UK_garhwa_1951:1961,duplicate_row,medium,Duplicate lineage row for UK_chamol_1961
UK_nainit_1971:1981,cycle_rejected,high,Parent and child are identical (UK_nainit_1971)
UK_nainit_1971:1981,duplicate_row,medium,Duplicate lineage row for UK_nainit_1971
UK_uttark_1961:1981,cycle_rejected,high,Parent and child are identical (UK_uttark_1961)
UK_uttark_1961:2001,cycle_rejected,high,Parent and child are identical (UK_uttark_1961)
UK_uttark_1961:1991,cycle_rejected,high,Parent and child are identical (UK_uttark_1961)
UP_varana_1951:1961,cycle_rejected,high,Parent and child are identical (UP_varana_1951)
UP_varana_1951:1961,duplicate_row,medium,Duplicate lineage row for UP_varana_1951
UP_varana_1951:1961,duplicate_row,medium,Duplicate lineage row for UP_varana_1951
UP_baraba_1991:2001,cycle_rejected,high,Parent and child are identical (UP_baraba_1991)
UP_baraba_1991:2011,cycle_rejected,high,Parent and child are identical (UP_baraba_1991)
UP_buland_1971:1981,duplicate_row,medium,Duplicate lineage row for UP_ghazia_1981
UP_etawah_1991:2001,cycle_rejected,high,Parent and child are identical (UP_etawah_1991)
UP_etawah_1991:2011,cycle_rejected,high,Parent and child are identical (UP_etawah_1991)
UP_ayodhy_1991:2024,cycle_rejected,high,Parent and child are identical (UP_ayodhy_1991)
UP_hathra_2001:2011,cycle_rejected,high,Parent and child are identical (UP_hathra_2001)
UP_amroha_2001:2024,cycle_rejected,high,Parent and child are identical (UP_amroha_2001)
UP_kanpur_1951:1991,cycle_rejected,high,Parent and child are identical (UP_kanpur_1951)
UP_kanpur_1951:1991,duplicate_row,medium,Duplicate lineage row for UP_kanpur_1951
UP_hathra_2001:2024,cycle_rejected,high,Parent and child are identical (UP_hathra_2001)
UP_meerut_1951:1981,duplicate_row,medium,Duplicate lineage row for UP_ghazia_1981
UP_bhadoh_2001:2011,cycle_rejected,high,Parent and child are identical (UP_bhadoh_2001)
UP_bhadoh_2001:2024,cycle_rejected,high,Parent and child are identical (UP_bhadoh_2001)
TR_tripur_1951:1971,duplicate_row,medium,Duplicate lineage row for TR_northt_1971
TR_tripur_1951:1971,duplicate_row,medium,Duplicate lineage row for TR_southt_1971
TR_tripur_1951:1971,duplicate_row,medium,Duplicate lineage row for TR_westtr_1971
TR_tripur_1951:1971,duplicate_row,medium,Duplicate lineage row for TR_westtr_1971
TR_tripur_1951:1971,duplicate_row,medium,Duplicate lineage row for TR_northt_1971
TG_hydera_1971:1981,duplicate_row,medium,Duplicate lineage row for TG_rangar_1981
TG_hydera_1971:1981,duplicate_row,medium,Duplicate lineage row for TG_rangar_1981
TG_rangar_1981:2011,cycle_rejected,high,Parent and child are identical (TG_rangar_1981)
TG_rangar_1981:2011,duplicate_row,medium,Duplicate lineage row for TG_rangar_1981
TG_rangar_1981:2011,duplicate_row,medium,Duplicate lineage row for TG_rangar_1981
TG_warang_1951:1961,duplicate_row,medium,Duplicate lineage row for TG_khamma_1961
TG_warang_1951:1961,duplicate_row,medium,Duplicate lineage row for TG_khamma_1961
TG_warang_1951:1961,duplicate_row,medium,Duplicate lineage row for TG_khamma_1961
TG_warang_1951:2024,cycle_rejected,high,Parent and child are identical (TG_warang_1951)
TG_warang_1951:2024,duplicate_row,medium,Duplicate lineage row for TG_warang_1951
TN_chenga_1951:1991,cycle_rejected,high,Parent and child are identical (TN_chenga_1951)
