event_id,child_cdk,child_name,metric_basis,weight_value,weight_method,weight_confidence,source_year,basis,is_fallback
AP_vizaga_1951:1961,AP_visakh_1961,Visakhapatnam,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
AP_vizaga_1951:1961,AP_visakh_1961,Visakhapatnam,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
AR_aborhi_1951:1961,AR_siangf_1961,Siang Frontier Division,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
AR_aborhi_1951:1961,AR_siangf_1961,Siang Frontier Division,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
AR_balipa_1951:1961,AR_kameng_1961,Kameng Frontier,area,0.5,equal_split_fallback,0.35,1961,equal_split_fallback,True
AR_balipa_1951:1961,AR_kameng_1961,Kameng Frontier,production,0.5,equal_split_fallback,0.35,1961,equal_split_fallback,True
AR_balipa_1951:1961,AR_subans_1961,Subansiri Frontier,area,0.5,equal_split_fallback,0.35,1961,equal_split_fallback,True
AR_balipa_1951:1961,AR_subans_1961,Subansiri Frontier,production,0.5,equal_split_fallback,0.35,1961,equal_split_fallback,True
AR_mishmi_1951:1961,AR_lohitf_1961,Lohit Frontier Division,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
AR_mishmi_1951:1961,AR_lohitf_1961,Lohit Frontier Division,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
GJ_centra_1951:1961,GJ_rajkot_1961,Rajkot,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
GJ_centra_1951:1961,GJ_rajkot_1961,Rajkot,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
GJ_zalawa_1951:1961,GJ_surend_1961,Surendranagar,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
GJ_zalawa_1951:1961,GJ_surend_1961,Surendranagar,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
HP_kangra_1951:1961,HP_lahaul_1961,Lahaul and Spiti,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
HP_kangra_1951:1961,HP_lahaul_1961,Lahaul and Spiti,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
HP_kohist_1951:1961,HP_shimla_1961,Simla,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
HP_kohist_1951:1961,HP_shimla_1961,Simla,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
HP_mahasu_1951:1961,HP_kinnau_1961,Kinnaur,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
HP_mahasu_1951:1961,HP_kinnau_1961,Kinnaur,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
JK_jammua_1951:1961,JK_anantn_1961,Anantnag,area,0.111111,equal_split_fallback,0.35,1961,equal_split_fallback,True
JK_jammua_1951:1961,JK_anantn_1961,Anantnag,production,0.111111,equal_split_fallback,0.35,1961,equal_split_fallback,True
JK_jammua_1951:1961,JK_baramu_1961,Baramula,area,0.111111,equal_split_fallback,0.35,1961,equal_split_fallback,True
JK_jammua_1951:1961,JK_baramu_1961,Baramula,production,0.111111,equal_split_fallback,0.35,1961,equal_split_fallback,True
JK_jammua_1951:1961,JK_doda_1961,Doda,area,0.111111,equal_split_fallback,0.35,1961,equal_split_fallback,True
JK_jammua_1951:1961,JK_doda_1961,Doda,production,0.111111,equal_split_fallback,0.35,1961,equal_split_fallback,True
JK_jammua_1951:1961,JK_jammu_1961,Jammu,area,0.111111,equal_split_fallback,0.35,1961,equal_split_fallback,True
JK_jammua_1951:1961,JK_jammu_1961,Jammu,production,0.111111,equal_split_fallback,0.35,1961,equal_split_fallback,True
JK_jammua_1951:1961,JK_kathua_1961,Kathua,area,0.111111,equal_split_fallback,0.35,1961,equal_split_fallback,True
JK_jammua_1951:1961,JK_kathua_1961,Kathua,production,0.111111,equal_split_fallback,0.35,1961,equal_split_fallback,True
JK_jammua_1951:1961,JK_ladakh_1961,Ladakh,area,0.111111,equal_split_fallback,0.35,1961,equal_split_fallback,True
JK_jammua_1951:1961,JK_ladakh_1961,Ladakh,production,0.111111,equal_split_fallback,0.35,1961,equal_split_fallback,True
JK_jammua_1951:1961,JK_poonch_1961,Poonch,area,0.111111,equal_split_fallback,0.35,1961,equal_split_fallback,True
