source_district,dest_district,source_year,dest_year,filter_state
24 - Parganas,Twenty Four Parganas,1961,1971,West Bengal
24 - Parganas,Twenty Four Parganas,1961,1971,West Bengal
Barddhaman,Pashchim Barddhaman,2011,2024,West Bengal
Barddhaman,Purba Barddhaman,2011,2024,West Bengal
Burdwan,Barddhaman,1971,1981,West Bengal
Burdwan,Barddhaman,1971,1981,West Bengal
Burdwan,Barddhaman,1971,1981,West Bengal
Calcutta,Kolkata,1991,2001,West Bengal
Cooch Behar,Koch Bihar,1971,1981,West Bengal
Darjeeling,Darjiling,1971,1981,West Bengal
Darjeeling,Darjiling,1971,1981,West Bengal
Darjiling,Kalimpong,2011,2024,West Bengal
Hooghly,Hugli,1971,1981,West Bengal
Howrah,Haora,1971,1981,West Bengal
Jalpaiguri,Alipurduar,2011,2024,West Bengal
Malda,Maldah,1971,1981,West Bengal
Medinipur,Paschim Medinipur,2001,2011,West Bengal
Medinipur,Purba Medinipur,2001,2011,West Bengal
Medinipur,Paschim Medinipur,2001,2011,West Bengal
Midnapore,Medinipur,1971,1981,West Bengal
Midnapore,Medinipur,1971,1981,West Bengal
Midnapore,Medinipur,1971,1981,West Bengal
Midnapur,Midnapore,1951,1961,West Bengal
Midnapur,Midnapore,1951,1961,West Bengal
Midnapur,Midnapore,1951,1961,West Bengal
Paschim Medinipur,Jhargram,2011,2024,West Bengal
Purulia,Puruliya,1971,1981,West Bengal
Twenty Four Parganas,North Twenty Four Parganas,1981,1991,West Bengal
Twenty Four Parganas,South Twenty Four Parganas,1981,1991,West Bengal
West Dinajpur,Uttar Dinajpur,1991,2001,West Bengal
West Dinajpur,Dakshin Dinajpur,1991,2001,West Bengal
Almora,Pithoragarh,1951,1961,Uttarakhand
Almora,Pithoragarh,1951,1961,Uttarakhand
Almora,Bageshwar,1991,2001,Uttarakhand
Chamoli,Rudraprayag,1991,2001,Uttarakhand
Dehra Dun,Dehradun,1991,2001,Uttarakhand
Garhwal,Chamoli,1951,1961,Uttarakhand
Garhwal,Chamoli,1951,1961,Uttarakhand
Naini Tal,Nainital,1971,1981,Uttarakhand
Naini Tal,Nainital,1971,1981,Uttarakhand
Nainital,Udham Singh Nagar,1991,2001,Uttarakhand
Pithoragarh,Champawat,1991,2001,Uttarakhand
Saharanpur,Hardwar,1981,1991,Uttarakhand
Tehri Garhwal,Uttar Kashi,1951,1961,Uttarakhand
Uttar Kashi,Uttarkashi,1971,1981,Uttarakhand
Uttar Kashi,Uttarkashi,1991,2001,Uttarakhand
Uttarkashi,Uttar Kashi,1981,1991,Uttarakhand
Agra,Firozabad,1981,1991,Uttar Pradesh
Aligarh,Hathras,1991,2001,Uttar Pradesh
Allahabad,Kaushambi,1991,2001,Uttar Pradesh
Allahabad,Prayagraj,2011,2024,Uttar Pradesh
Azamgarh,Mau,1981,1991,Uttar Pradesh
Bahraich,Shrawasti,1991,2001,Uttar Pradesh
Banares,Varanasi,1951,1961,Uttar Pradesh
Banares,Varanasi,1951,1961,Uttar Pradesh
Banares,Varanasi,1951,1961,Uttar Pradesh
Banda,Chitrakoot,1991,2001,Uttar Pradesh
Bara Banki,Barabanki,1991,2001,Uttar Pradesh
Barabanki,Bara Banki,2001,2011,Uttar Pradesh
Basti,Siddharthnagar,1981,1991,Uttar Pradesh
Basti,Sant Kabir Nagar,1991,2001,Uttar Pradesh
Budaun,Sambhal (Bhimnagar),2011,2024,Uttar Pradesh
Bulandshahr,Ghaziabad,1971,1981,Uttar Pradesh
Bulandshahr,Ghaziabad,1971,1981,Uttar Pradesh
Bulandshahr,Gautam Buddha Nagar,1991,2001,Uttar Pradesh
Deoria,Kushinagar,1991,2001,Uttar Pradesh
Etah,Kanshiram Nagar,2001,2011,Uttar Pradesh
Etawah,Auraiya,1991,2001,Uttar Pradesh
Etawah,Etawah',1991,2001,Uttar Pradesh
Etawah',Etawah,2001,2011,Uttar Pradesh
Faizabad,Ambedkar Nagar,1991,2001,Uttar Pradesh
Faizabad,Ayodhya,2011,2024,Uttar Pradesh
Farrukhabad,Kannauj,1991,2001,Uttar Pradesh
Ghaziabad,Gautam Buddha Nagar,1991,2001,Uttar Pradesh
Ghaziabad,Hapur (Panchsheel Nagar),2011,2024,Uttar Pradesh
Gonda,Balrampur,1991,2001,Uttar Pradesh
Gorakhpur,Maharajganj,1981,1991,Uttar Pradesh
Hamirpur,Mahoba,1991,2001,Uttar Pradesh
Hathras,Mahamaya Nagar,2001,2011,Uttar Pradesh
Jhansi,Lalitpur,1971,1981,Uttar Pradesh
Jyotiba Phule Nagar,Amroha,2011,2024,Uttar Pradesh
Kanpur,Kanpur Dehat,1981,1991,Uttar Pradesh
Kanpur,Kanpur Nagar,1981,1991,Uttar Pradesh
Kanshiram Nagar,Kasganj,2011,2024,Uttar Pradesh
Mahamaya Nagar,Hathras,2011,2024,Uttar Pradesh
Maharajganj,Mahrajganj,2001,2011,Uttar Pradesh
Mainpuri,Firozabad,1981,1991,Uttar Pradesh
Meerut,Ghaziabad,1971,1981,Uttar Pradesh
Meerut,Ghaziabad,1971,1981,Uttar Pradesh
Meerut,Baghpat,1991,2001,Uttar Pradesh
Mirzapur,Sonbhadra,1981,1991,Uttar Pradesh
Moradabad,Jyotiba Phule Nagar,1991,2001,Uttar Pradesh
Moradabad,Sambhal (Bhimnagar),2011,2024,Uttar Pradesh
Muzaffarnagar,Shamli (Prabuddhanagar),2011,2024,Uttar Pradesh
Sant Ravidas Nagar,Sant Ravidas Nagar (Bhadohi),2001,2011,Uttar Pradesh
Sant Ravidas Nagar (Bhadohi),Bhadohi,2011,2024,Uttar Pradesh
Sultanpur,Amethi,2011,2024,Uttar Pradesh
Varanasi,Chandauli,1991,2001,Uttar Pradesh
Varanasi,Sant Ravidas Nagar,1991,2001,Uttar Pradesh
North Tripura,Dhalai,1991,2001,Tripura
North Tripura,Unakoti,2011,2024,Tripura
South Tripura,Gomati,2011,2024,Tripura
Tripura,West Tripura,1961,1971,Tripura
Tripura,South Tripura,1961,1971,Tripura
Tripura,North Tripura,1961,1971,Tripura
Tripura,North Tripura,1961,1971,Tripura
Tripura,South Tripura,1961,1971,Tripura
Tripura,West Tripura,1961,1971,Tripura
Tripura,West Tripura,1961,1971,Tripura
Tripura,North Tripura,1961,1971,Tripura
West Tripura,Khowai,2011,2024,Tripura
West Tripura,Sipahijala,2011,2024,Tripura
Adilabad,Kumuram Bheem,2011,2024,Telangana
Adilabad,Mancherial,2011,2024,Telangana
Adilabad,Nirmal,2011,2024,Telangana
Hyderabad,Rangareddi,1971,1981,Telangana
Hyderabad,Rangareddi,1971,1981,Telangana
Hyderabad,Rangareddi,1971,1981,Telangana
Karimnagar,Jagtial,2011,2024,Telangana
Karimnagar,Peddapalli,2011,2024,Telangana
Karimnagar,Rajanna Sircilla,2011,2024,Telangana
Karimnagar,Jayashankar Bhupalpally,2011,2024,Telangana
Karimnagar,Siddipet,2011,2024,Telangana
Khammam,Mulugu,2011,2024,Telangana
Khammam,Bhadradri Kothagudem,2011,2024,Telangana
Khammam,Mahabubabad,2011,2024,Telangana
Mahbubnagar,Jogulamba Gadwal,2011,2024,Telangana
Mahbubnagar,Nagarkurnool,2011,2024,Telangana
Mahbubnagar,Wanaparthy,2011,2024,Telangana
Mahbubnagar,Narayanpet,2011,2024,Telangana
Medak,Sangareddy,2011,2024,Telangana
Medak,Siddipet,2011,2024,Telangana
Nalgonda,Suryapet,2011,2024,Telangana
Nalgonda,Yadadri Bhuvanagiri,2011,2024,Telangana
Nalgonda,Jangaon,2011,2024,Telangana
Nizamabad,Kamareddy,2011,2024,Telangana
Rangareddi,Rangareddy,2001,2011,Telangana
