icrisat_code_a,icrisat_code_b,parent_name,child_name,state,split_year,event_type,confidence
1.0,1.0,Durg,Durg,Chhattisgarh,,IDENTITY,1.0
2.0,2.0,Bastar,Bastar,Chhattisgarh,,IDENTITY,1.0
3.0,3.0,Raipur,Raipur,Chhattisgarh,,IDENTITY,1.0
4.0,4.0,Bilaspur,Bilaspur,Chhattisgarh,,IDENTITY,1.0
5.0,5.0,Raigarh,Raigarh,Chhattisgarh,,IDENTITY,1.0
6.0,6.0,Surguja,Surguja,Chhattisgarh,,IDENTITY,1.0
7.0,7.0,Jabalpur,Jabalpur,Madhya Pradesh,,IDENTITY,1.0
8.0,8.0,Balaghat,Balaghat,Madhya Pradesh,,IDENTITY,1.0
9.0,9.0,Chhindwara,Chhindwara,Madhya Pradesh,,IDENTITY,1.0
10.0,10.0,Narsinghpur,Narsinghpur,Madhya Pradesh,,IDENTITY,1.0
11.0,11.0,Seoni / Shivani,Seoni,Madhya Pradesh,,RENAME,1.0
12.0,12.0,Mandla,Mandla,Madhya Pradesh,,IDENTITY,1.0
13.0,13.0,Sagar,Sagar,Madhya Pradesh,,IDENTITY,1.0
14.0,14.0,Damoh,Damoh,Madhya Pradesh,,IDENTITY,1.0
15.0,15.0,Tikamgarh,Tikamgarh,Madhya Pradesh,,IDENTITY,1.0
16.0,16.0,Chhatarpur,Chhatarpur,Madhya Pradesh,,IDENTITY,1.0
17.0,17.0,Panna,Panna,Madhya Pradesh,,IDENTITY,1.0
18.0,18.0,Rewa,Rewa,Madhya Pradesh,,IDENTITY,1.0
19.0,19.0,Sidhi,Sidhi,Madhya Pradesh,,IDENTITY,1.0
20.0,20.0,Satna,Satna,Madhya Pradesh,,IDENTITY,1.0
21.0,21.0,Shahdol,Shahdol,Madhya Pradesh,,IDENTITY,1.0
22.0,22.0,Gwalior,Gwalior,Madhya Pradesh,,IDENTITY,1.0
23.0,23.0,Shivpuri,Shivpuri,Madhya Pradesh,,IDENTITY,1.0
24.0,24.0,Guna,Guna,Madhya Pradesh,,IDENTITY,1.0
25.0,25.0,Datia,Datia,Madhya Pradesh,,IDENTITY,1.0
26.0,26.0,Morena,Morena,Madhya Pradesh,,IDENTITY,1.0
27.0,27.0,Bhind,Bhind,Madhya Pradesh,,IDENTITY,1.0
28.0,28.0,Indore,Indore,Madhya Pradesh,,IDENTITY,1.0
29.0,29.0,Ratlam,Ratlam,Madhya Pradesh,,IDENTITY,1.0
30.0,30.0,Ujjain,Ujjain,Madhya Pradesh,,IDENTITY,1.0
31.0,31.0,Mandsaur,Mandsaur,Madhya Pradesh,,IDENTITY,1.0
32.0,32.0,Dewas,Dewas,Madhya Pradesh,,IDENTITY,1.0
33.0,33.0,Dhar,Dhar,Madhya Pradesh,,IDENTITY,1.0
34.0,34.0,Jhabua,Jhabua,Madhya Pradesh,,IDENTITY,1.0
35.0,35.0,Khargone / West Nimar,Khargone,Madhya Pradesh,,RENAME,1.0
36.0,36.0,Khandwa / East Nimar,Khandwa,Madhya Pradesh,,RENAME,1.0
37.0,37.0,Sehore,Sehore,Madhya Pradesh,,IDENTITY,1.0
38.0,38.0,Raisen,Raisen,Madhya Pradesh,,IDENTITY,1.0
39.0,39.0,Vidisha,Vidisha,Madhya Pradesh,,IDENTITY,1.0
40.0,40.0,Betul,Betul,Madhya Pradesh,,IDENTITY,1.0
41.0,41.0,Rajgarh,Rajgarh,Madhya Pradesh,,IDENTITY,1.0
42.0,42.0,Shajapur,Shajapur,Madhya Pradesh,,IDENTITY,1.0
43.0,43.0,Hoshangabad,Hoshangabad,Madhya Pradesh,,IDENTITY,1.0
44.0,44.0,Srikakulam,Srikakulam,Andhra Pradesh,,IDENTITY,1.0
45.0,45.0,Visakhapatnam,Visakhapatnam,Andhra Pradesh,,IDENTITY,1.0
46.0,46.0,East Godavari,East Godavari,Andhra Pradesh,,IDENTITY,1.0
47.0,47.0,West Godavari,West Godavari,Andhra Pradesh,,IDENTITY,1.0
48.0,48.0,Krishna,Krishna,Andhra Pradesh,,IDENTITY,1.0
49.0,49.0,Guntur,Guntur,Andhra Pradesh,,IDENTITY,1.0
50.0,50.0,S.P.S. Nellore,S.P.S.Nellore,Andhra Pradesh,,RENAME,1.0
51.0,51.0,Kurnool,Kurnool,Andhra Pradesh,,IDENTITY,1.0
52.0,52.0,Ananthapur,Anantapur,Andhra Pradesh,,RENAME,1.0
53.0,53.0,Kadapa YSR,Kadapa YSR,Andhra Pradesh,,IDENTITY,1.0
54.0,54.0,Chittoor,Chittoor,Andhra Pradesh,,IDENTITY,1.0
55.0,55.0,Hyderabad,Hyderabad,Telangana,,IDENTITY,1.0
56.0,56.0,Nizamabad,Nizamabad,Telangana,,IDENTITY,1.0
57.0,57.0,Medak,Medak,Telangana,,IDENTITY,1.0
58.0,58.0,Mahabubnagar,Mahabubnagar,Telangana,,IDENTITY,1.0
59.0,59.0,Nalgonda,Nalgonda,Telangana,,IDENTITY,1.0
60.0,60.0,Warangal,Warangal,Telangana,,IDENTITY,1.0
61.0,61.0,Khammam,Khammam,Telangana,,IDENTITY,1.0
62.0,62.0,Karimnagar,Karimnagar,Telangana,,IDENTITY,1.0
63.0,63.0,Adilabad,Adilabad,Telangana,,IDENTITY,1.0
65.0,65.0,Kolar,Kolar,Karnataka,,IDENTITY,1.0
66.0,66.0,Tumkur,Tumkur,Karnataka,,IDENTITY,1.0
67.0,67.0,Mysore,Mysore,Karnataka,,IDENTITY,1.0
68.0,68.0,Mandya,Mandya,Karnataka,,IDENTITY,1.0
69.0,69.0,Hassan,Hassan,Karnataka,,IDENTITY,1.0
70.0,70.0,Shimoge,Shimoge,Karnataka,,IDENTITY,1.0
71.0,71.0,Chickmagalur,Chickmagalur,Karnataka,,IDENTITY,1.0
72.0,72.0,Chitradurga,Chitradurga,Karnataka,,IDENTITY,1.0
73.0,73.0,Bellary,Bellary,Karnataka,,IDENTITY,1.0
74.0,74.0,Dharwad,Dharwad,Karnataka,,IDENTITY,1.0
75.0,75.0,Belgaum,Belgaum,Karnataka,,IDENTITY,1.0
76.0,76.0,Bijapur / Vijayapura,Bijapur,Karnataka,,RENAME,1.0
77.0,77.0,Bidar,Bidar,Karnataka,,IDENTITY,1.0
78.0,78.0,Raichur,Raichur,Karnataka,,IDENTITY,1.0
79.0,79.0,Gulbarga / Kalaburagi,Gulbarga,Karnataka,,RENAME,1.0
80.0,80.0,Dakshina Kannada,Dakshina Kannada,Karnataka,,IDENTITY,1.0
81.0,81.0,Uttara Kannada,Uttara Kannada,Karnataka,,IDENTITY,1.0
82.0,82.0,Kodagu / Coorg,Kodagu,Karnataka,,RENAME,1.0
83.0,83.0,Chengalpattu MGR / Kanchipuram,Kancheepuram,Tamil Nadu,,RENAME,1.0
84.0,84.0,South Arcot / Cuddalore,South Arcot Cuddalore,Tamil Nadu,,RENAME,1.0
85.0,85.0,North Arcot / Vellore,North Arcot Vellore,Tamil Nadu,,RENAME,1.0
86.0,86.0,Salem,Salem,Tamil Nadu,,IDENTITY,1.0
87.0,87.0,Coimbatore,Coimbatore,Tamil Nadu,,IDENTITY,1.0
88.0,88.0,Tiruchirapalli / Trichy,Tiruchirapalli Trichy,Tamil Nadu,,RENAME,1.0
89.0,89.0,Thanjavur,Thanjavur,Tamil Nadu,,IDENTITY,1.0
90.0,90.0,Madurai,Madurai,Tamil Nadu,,IDENTITY,1.0
91.0,91.0,Ramananthapuram,Ramananthapuram,Tamil Nadu,,IDENTITY,1.0
92.0,92.0,Thirunelveli,Thirunelveli,Tamil Nadu,,IDENTITY,1.0
93.0,93.0,The Nilgiris,The Nilgiris,Tamil Nadu,,IDENTITY,1.0
94.0,94.0,Kanyakumari,Kanyakumari,Tamil Nadu,,IDENTITY,1.0
96.0,96.0,Thane,Thane,Maharashtra,,IDENTITY,1.0
97.0,97.0,Raigad,Raigarh,Maharashtra,,RENAME,1.0
98.0,98.0,Ratnagiri,Ratnagiri,Maharashtra,,IDENTITY,1.0
99.0,99.0,Nasik,Nasik,Maharashtra,,IDENTITY,1.0
100.0,100.0,Dhule,Dhule,Maharashtra,,IDENTITY,1.0
101.0,101.0,Jalgaon,Jalgaon,Maharashtra,,IDENTITY,1.0
102.0,102.0,Ahmednagar,Ahmednagar,Maharashtra,,IDENTITY,1.0
103.0,103.0,Pune,Pune,Maharashtra,,IDENTITY,1.0
104.0,104.0,Satara,Satara,Maharashtra,,IDENTITY,1.0
105.0,105.0,Sangli,Sangli,Maharashtra,,IDENTITY,1.0
