state,district,market,commodity,commodity_normalized,variety,grade,arrival_date,min_price,max_price,modal_price
Gujarat,Surat,KUKARMUNDA APMC,Castor Seed,castor,Castor seed,Local,2026-04-06,5975.0,6125.0,6065.0
Uttarakhand,Haridwar,Roorkee APMC,Brinjal,brinjal,Other,Local,2026-04-06,550.0,750.0,650.0
Uttarakhand,Haridwar,Roorkee APMC,Potato,potatoes,Other,Medium,2026-04-06,800.0,1200.0,1000.0
Uttarakhand,Haridwar,Roorkee APMC,Bottle gourd,bottle_gourd,Other,Local,2026-04-06,600.0,800.0,700.0
Uttarakhand,Haridwar,Roorkee APMC,Tomato,tomato,Other,Medium,2026-04-06,1200.0,2200.0,1600.0
Rajasthan,Jodhpur,Jodhpur (F&V) APMC,Onion,onion,Red,Medium,2026-04-06,500.0,1300.0,900.0
Rajasthan,Jodhpur,Jodhpur (F&V) APMC,Mousambi(Sweet Lime),mousambisweet_lime,Mousambi,Medium,2026-04-06,1500.0,2500.0,2000.0
Rajasthan,Jodhpur,Jodhpur (F&V) APMC,Brinjal,brinjal,Other,Medium,2026-04-06,1000.0,1800.0,1500.0
Rajasthan,Jodhpur,Jodhpur (F&V) APMC,Bitter gourd,bitter_gourd,Other,Medium,2026-04-06,1500.0,2000.0,1800.0
Rajasthan,Jodhpur,Jodhpur (F&V) APMC,Cucumbar(Kheera),cucumbarkheera,Other,Medium,2026-04-06,800.0,1200.0,1000.0
Rajasthan,Jodhpur,Jodhpur (F&V) APMC,Ridgeguard(Tori),ridgeguardtori,Other,Medium,2026-04-06,1000.0,2200.0,1500.0
Uttar Pradesh,Agra,Achnera APMC,Wheat,wheat,Dara Mill Quality,FAQ,2026-04-06,2300.0,2300.0,2300.0
Madhya Pradesh,Indore,Indore(F&V) APMC,Carrot,carrot,Carrot,Local,2026-04-06,400.0,1000.0,600.0
Madhya Pradesh,Indore,Indore(F&V) APMC,Ginger(Green),gingergreen,Green Ginger,Local,2026-04-06,1500.0,4500.0,3000.0
Madhya Pradesh,Indore,Indore(F&V) APMC,Bottle gourd,bottle_gourd,Bottle Gourd,Local,2026-04-06,800.0,2500.0,1600.0
Assam,Nagaon,Dhing APMC,Cauliflower,cauliflower,Cauliflower,FAQ,2026-04-06,1100.0,1300.0,1200.0
Gujarat,Panchmahals,Godhra APMC,Paddy(Common),paddycommon,Other,Non-FAQ,2026-04-06,1715.0,1750.0,1730.0
Madhya Pradesh,Dhar,Kukshi(F&V) APMC,Bhindi(Ladies Finger),bhindiladies_finger,Bhindi,Grade A,2026-04-06,1000.0,1800.0,1400.0
Madhya Pradesh,Dhar,Kukshi(F&V) APMC,Spinach,spinach,Spinach,Grade A,2026-04-06,500.0,1000.0,700.0
Madhya Pradesh,Dhar,Kukshi(F&V) APMC,Bitter gourd,bitter_gourd,Bitter Gourd,Grade A,2026-04-06,1200.0,1800.0,1500.0
Madhya Pradesh,Indore,Sanwer(F&V) APMC,Brinjal,brinjal,Brinjal,Grade A,2026-04-06,800.0,1000.0,900.0
Madhya Pradesh,Indore,Sanwer(F&V) APMC,Tomato,tomato,Tomato,Grade A,2026-04-06,800.0,1400.0,1300.0
Madhya Pradesh,Indore,Sanwer(F&V) APMC,Cabbage,cabbage,Cabbage,Grade A,2026-04-06,700.0,1000.0,800.0
Madhya Pradesh,Indore,Sanwer(F&V) APMC,Pumpkin,pumpkin,Pumpkin,Grade A,2026-04-06,800.0,1200.0,1000.0
Madhya Pradesh,Khandwa,Sanawad(F&V) APMC,Pumpkin,pumpkin,Other,Grade A,2026-04-06,1500.0,1500.0,1500.0
Madhya Pradesh,Khandwa,Sanawad(F&V) APMC,Onion,onion,Onion,Grade A,2026-04-06,1500.0,1500.0,1500.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Tender Coconut,tender_coconut,Tender Coconut,Grade B,2026-04-06,5500.0,5900.0,5700.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Ginger(Green),gingergreen,Green Ginger,Grade B,2026-04-06,6300.0,6700.0,6500.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Water Melon,watermelon,Water Melon,Small,2026-04-06,1300.0,1700.0,1500.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Chikoos(Sapota),chikoossapota,Sapota,Grade Range-1,2026-04-06,3000.0,3400.0,3200.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Orange,orange,Orange,Grade Range-2,2026-04-06,13800.0,14200.0,14000.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Brinjal,brinjal,Brinjal,Local,2026-04-06,1800.0,2200.0,2000.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Cabbage,cabbage,Cabbage,Local,2026-04-06,400.0,800.0,600.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Pumpkin,pumpkin,Pumpkin,Local,2026-04-06,2600.0,3000.0,2800.0
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Beetroot,beetroot,Beetroot,Grade B,2026-04-06,1200.0,1600.0,1400.0
Uttar Pradesh,Aligarh,Atrauli APMC,Bajra(Pearl Millet/Cumbu),bajrapearl_millet/cumbu,Hybrid,FAQ,2026-04-06,1800.0,1900.0,1850.0
Uttar Pradesh,Aligarh,Atrauli APMC,Mustard,rapeseed_and_mustard,Sarson(Black),FAQ,2026-04-06,5800.0,6000.0,5900.0
Assam,Kamrup,Fancy Bazaar APMC,Cummin Seed(Jeera),cummin_seedjeera,Cummin Seed(Jeera),FAQ,2026-04-06,26700.0,31800.0,30000.0
Assam,Kamrup,Fancy Bazaar APMC,Lentil(Masur)(Whole),lentilmasurwhole,Masur Dal,FAQ,2026-04-06,7200.0,9200.0,8700.0
Assam,Kamrup,Fancy Bazaar APMC,Green Gram Dal(Moong Dal),green_gram_dalmoong_dal,Green,FAQ,2026-04-06,6750.0,7750.0,7250.0
Assam,Kamrup,Fancy Bazaar APMC,Sugar,sugar,Medium,FAQ,2026-04-06,4350.0,4650.0,4450.0
