crop,season,year,msp,grade
rice,kharif,2014,1360,Common
rice,kharif,2015,1410,Common
rice,kharif,2016,1470,Common
rice,kharif,2017,1550,Common
rice,kharif,2018,1750,Common
rice,kharif,2019,1815,Common
rice,kharif,2020,1868,Common
rice,kharif,2021,1940,Common
rice,kharif,2022,2040,Common
rice,kharif,2023,2183,Common
rice,kharif,2024,2300,Common
rice,kharif,2025,2425,Common
wheat,rabi,2014,1400,FAQ
wheat,rabi,2015,1450,FAQ
wheat,rabi,2016,1525,FAQ
wheat,rabi,2017,1625,FAQ
wheat,rabi,2018,1735,FAQ
wheat,rabi,2019,1840,FAQ
wheat,rabi,2020,1925,FAQ
wheat,rabi,2021,1975,FAQ
wheat,rabi,2022,2015,FAQ
wheat,rabi,2023,2125,FAQ
wheat,rabi,2024,2275,FAQ
wheat,rabi,2025,2425,FAQ
sorghum,kharif,2018,2430,Hybrid
sorghum,kharif,2019,2550,Hybrid
sorghum,kharif,2020,2620,Hybrid
sorghum,kharif,2021,2738,Hybrid
sorghum,kharif,2022,2970,Hybrid
sorghum,kharif,2023,3180,Hybrid
sorghum,kharif,2024,3371,Hybrid
pearl_millet,kharif,2018,1950,FAQ
pearl_millet,kharif,2019,2000,FAQ
pearl_millet,kharif,2020,2150,FAQ
pearl_millet,kharif,2021,2250,FAQ
pearl_millet,kharif,2022,2350,FAQ
pearl_millet,kharif,2023,2500,FAQ
pearl_millet,kharif,2024,2625,FAQ
maize,kharif,2018,1700,FAQ
maize,kharif,2019,1760,FAQ
maize,kharif,2020,1850,FAQ
maize,kharif,2021,1870,FAQ
maize,kharif,2022,1962,FAQ
maize,kharif,2023,2090,FAQ
maize,kharif,2024,2225,FAQ
chickpea,rabi,2018,4400,Desi
chickpea,rabi,2019,4620,Desi
chickpea,rabi,2020,4875,Desi
chickpea,rabi,2021,5100,Desi
chickpea,rabi,2022,5230,Desi
chickpea,rabi,2023,5335,Desi
chickpea,rabi,2024,5440,Desi
pigeonpea,kharif,2018,5675,FAQ
pigeonpea,kharif,2019,5800,FAQ
pigeonpea,kharif,2020,6000,FAQ
pigeonpea,kharif,2021,6300,FAQ
pigeonpea,kharif,2022,6600,FAQ
pigeonpea,kharif,2023,7000,FAQ
pigeonpea,kharif,2024,7550,FAQ
groundnut,kharif,2018,4890,In-shell
groundnut,kharif,2019,5090,In-shell
groundnut,kharif,2020,5275,In-shell
groundnut,kharif,2021,5550,In-shell
groundnut,kharif,2022,5850,In-shell
groundnut,kharif,2023,6377,In-shell
groundnut,kharif,2024,6783,In-shell
rapeseed_and_mustard,rabi,2018,4200,FAQ
rapeseed_and_mustard,rabi,2019,4200,FAQ
rapeseed_and_mustard,rabi,2020,4425,FAQ
rapeseed_and_mustard,rabi,2021,4650,FAQ
rapeseed_and_mustard,rabi,2022,5050,FAQ
rapeseed_and_mustard,rabi,2023,5450,FAQ
rapeseed_and_mustard,rabi,2024,5650,FAQ
soyabean,kharif,2018,3399,Yellow
soyabean,kharif,2019,3710,Yellow
soyabean,kharif,2020,3880,Yellow
soyabean,kharif,2021,3950,Yellow
soyabean,kharif,2022,4300,Yellow
soyabean,kharif,2023,4600,Yellow
soyabean,kharif,2024,4892,Yellow
cotton,kharif,2018,5150,Medium Staple
cotton,kharif,2019,5255,Medium Staple
cotton,kharif,2020,5515,Medium Staple
cotton,kharif,2021,5726,Medium Staple
cotton,kharif,2022,6080,Medium Staple
cotton,kharif,2023,6620,Medium Staple
cotton,kharif,2024,7121,Medium Staple
sugarcane,kharif,2018,275,FRP
sugarcane,kharif,2019,275,FRP
sugarcane,kharif,2020,285,FRP
sugarcane,kharif,2021,290,FRP
sugarcane,kharif,2022,305,FRP
sugarcane,kharif,2023,315,FRP
sugarcane,kharif,2024,340,FRP
sunflower,kharif,2018,5388,FAQ
sunflower,kharif,2019,5650,FAQ
sunflower,kharif,2020,5885,FAQ
sunflower,kharif,2021,6015,FAQ
sunflower,kharif,2022,6400,FAQ
sunflower,kharif,2023,6760,FAQ
sunflower,kharif,2024,7280,FAQ
sesamum,kharif,2018,6249,FAQ
sesamum,kharif,2019,6485,FAQ
sesamum,kharif,2020,6855,FAQ
sesamum,kharif,2021,7307,FAQ
sesamum,kharif,2022,7830,FAQ
sesamum,kharif,2023,8635,FAQ
sesamum,kharif,2024,9267,FAQ
masoor,rabi,2018,4250,FAQ
masoor,rabi,2019,4475,FAQ
masoor,rabi,2020,4800,FAQ
masoor,rabi,2021,5100,FAQ
masoor,rabi,2022,5500,FAQ
masoor,rabi,2023,6000,FAQ
masoor,rabi,2024,6425,FAQ
barley,rabi,2018,1410,FAQ
barley,rabi,2019,1440,FAQ
barley,rabi,2020,1525,FAQ
barley,rabi,2021,1600,FAQ
barley,rabi,2022,1635,FAQ
barley,rabi,2023,1735,FAQ
barley,rabi,2024,1850,FAQ
